document_name,page_number,country,iso3,frequency
OCR-D26744506.json,9,Pakistan,PAK,1
OCR-D26744506.json,10,Congo,COG,1
OCR-D26744506.json,10,Rwanda,RWA,1
OCR-D26744506.json,10,Uganda,UGA,1
OCR-D26744506.json,11,Kenya,KEN,1
OCR-D26744506.json,11,Somalia,SOM,1
OCR-D26744506.json,12,Afghanistan,AFG,1
OCR-D26744506.json,12,Central African Republic,CAF,1
OCR-D26744506.json,12,Kenya,KEN,1
OCR-D26744506.json,12,Pakistan,PAK,1
OCR-D26744506.json,12,Sudan,SDN,1
OCR-D26744506.json,12,South Sudan,SSD,1
OCR-D26744506.json,12,Ukraine,UKR,1
OCR-D26744506.json,13,Afghanistan,AFG,1
OCR-D26744506.json,13,China,CHN,1
OCR-D26744506.json,13,Colombia,COL,1
OCR-D26744506.json,13,Western Sahara,ESH,1
OCR-D26744506.json,13,Myanmar,MMR,1
OCR-D26744506.json,14,Afghanistan,AFG,1
OCR-D26744506.json,14,Myanmar,MMR,1
OCR-D26744506.json,14,Rwanda,RWA,1
OCR-D26744506.json,14,Somalia,SOM,1
OCR-D26744506.json,15,China,CHN,1
OCR-D26744506.json,15,Iraq,IRQ,1
OCR-D26744506.json,15,Rwanda,RWA,1
OCR-D26744506.json,15,Sudan,SDN,1
OCR-D26744506.json,15,Somalia,SOM,1
OCR-D26744506.json,15,Syrian Arab Republic,SYR,1
OCR-D26744506.json,16,China,CHN,1
OCR-D26744506.json,16,Algeria,DZA,1
OCR-D26744506.json,16,Western Sahara,ESH,1
OCR-D26744506.json,16,Kenya,KEN,1
OCR-D26744506.json,16,Mauritania,MRT,1
OCR-D26744506.json,16,Pakistan,PAK,1
OCR-D26744506.json,16,Thailand,THA,1
OCR-D26744506.json,17,Afghanistan,AFG,1
OCR-D26744506.json,17,Syrian Arab Republic,SYR,1
OCR-D6525930.json,0,China,CHN,1
OCR-D6525930.json,1,Canada,CAN,1
OCR-D6525930.json,1,China,CHN,1
OCR-D6525930.json,2,China,CHN,1
OCR-D6525930.json,3,China,CHN,1
OCR-D6525930.json,4,China,CHN,1
OCR-D6525930.json,5,China,CHN,1
OCR-D6525930.json,5,Egypt,EGY,1
OCR-D6525930.json,5,Pakistan,PAK,1
OCR-D6525930.json,6,China,CHN,1
OCR-D6525930.json,7,China,CHN,1
OCR-D6525930.json,8,China,CHN,1
OCR-D6525930.json,18,China,CHN,1
OCR-D6525930.json,19,China,CHN,1
OCR-D6525930.json,20,China,CHN,1
OCR-D6525930.json,21,China,CHN,1
OCR-D6525930.json,21,Egypt,EGY,1
OCR-D6525930.json,21,Pakistan,PAK,1
OCR-D6525930.json,22,Burkina Faso,BFA,1
OCR-D6525930.json,22,China,CHN,1
OCR-D6525930.json,22,Ecuador,ECU,1
OCR-D6525930.json,22,India,IND,1
OCR-D6525930.json,22,Jersey,JEY,1
OCR-D6525930.json,22,Mexico,MEX,1
OCR-D6525930.json,22,Peru,PER,1
OCR-D6525930.json,23,Burkina Faso,BFA,1
OCR-D6525930.json,23,China,CHN,1
OCR-D6525930.json,23,Ecuador,ECU,1
OCR-D6525930.json,23,Malaysia,MYS,1
OCR-D6525930.json,24,China,CHN,1
OCR-D6525930.json,24,Hong Kong,HKG,1
OCR-D6525930.json,25,China,CHN,1
OCR-D34173720.json,5,Afghanistan,AFG,1
OCR-D34173720.json,5,Bangladesh,BGD,1
OCR-D34173720.json,5,India,IND,1
OCR-D34173720.json,5,Sri Lanka,LKA,1
OCR-D34173720.json,5,Nepal,NPL,1
